term,subject,name,email,profilepic,public_profile_url
2022t1,MLP,Anay Kumer,22f1000659@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/95.jpg,http://www.karnik-dugal.com/
2024t2,MAD1,Ayesha Deshmukh,22f2000262@ds.study.iitm.ac.in,,http://wali.com/
2023t1,MLP,Divyansh Uppal,23f2000542@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/44.jpg,http://www.dutta.com/
2021t1,MAD2,Saanvi Sura,23f3000186@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/6.jpg,https://www.sachdeva.info/
2024t1,MLP,Lakshay Dara,23f1000665@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/78.jpg,http://tara.com/
2021t3,MAD1,Himmat Kaul,23f1000819@ds.study.iitm.ac.in,,https://www.salvi-gole.com/
2024t3,BDM,Prisha Bobal,23f2000377@ds.study.iitm.ac.in,,http://chada-kulkarni.com/
2023t3,MAD2,Lakshay Rastogi,21f1000866@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/21.jpg,https://www.desai.com/
2023t3,MLP,Indranil Sodhi,22f3000139@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/80.jpg,https://gandhi-chadha.com/
2022t1,MAD2,Parinaaz Tailor,23f1000882@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/96.jpg,https://www.chana.com/
2023t1,BDM,Yuvaan Lad,21f1000795@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/82.jpg,
2024t1,MLP,Samiha Mani,22f3000836@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/7.jpg,
2022t3,MAD1,Charvi Dhillon,23f2000835@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/45.jpg,http://dubey.org/
2021t2,MAD1,Kimaya Barman,22f2000474@ds.study.iitm.ac.in,,http://sanghvi.net/
2022t2,MAD2,Damini Rao,23f3000982@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/57.jpg,
2022t1,MAD2,Madhav Kumer,24f3000594@ds.study.iitm.ac.in,,https://www.balan.info/
2021t2,MAD1,Himmat Ahuja,23f2000626@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/18.jpg,
2024t3,MLP,Kaira Agrawal,21f3000425@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/33.jpg,https://www.kalla.org/
2022t3,BDM,Lavanya Dalal,22f3000227@ds.study.iitm.ac.in,,http://acharya.com/
2024t2,BDM,Ishaan Iyer,21f1000301@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/77.jpg,http://wason-grover.org/
2023t2,MAD2,Taran Varty,23f3000162@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/66.jpg,https://ranganathan-mall.com/
2021t1,MLP,Hrishita Kothari,23f2000374@ds.study.iitm.ac.in,,http://kapoor.net/
2022t1,BDM,Seher Devan,22f1000883@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/37.jpg,https://www.bahri.com/
2024t3,MAD1,Tara Andra,22f1000933@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/63.jpg,http://www.atwal.net/
2023t1,BDM,Anya Thakkar,21f3000045@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/20.jpg,https://www.singhal.info/
2021t1,MLP,Madhav Hayre,24f1000120@ds.study.iitm.ac.in,,http://sarraf-devi.com/
2023t2,BDM,Oorja Chokshi,21f1000667@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/11.jpg,
2024t2,BDM,Hrishita Borde,24f1000325@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/59.jpg,http://sidhu.com/
2022t2,MAD1,Veer Dhar,23f2000540@ds.study.iitm.ac.in,,http://upadhyay-anne.com/
2023t3,MAD1,Himmat Swaminathan,21f1000420@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/50.jpg,https://www.sama-tara.com/
2021t1,MLP,Vaibhav Buch,21f2000739@ds.study.iitm.ac.in,,http://www.sarin-bir.com/
2021t3,MAD1,Aarav Bala,22f2000338@ds.study.iitm.ac.in,,http://www.wagle-chakraborty.org/
2022t1,MAD2,Anahi Brar,24f3000079@ds.study.iitm.ac.in,,
2022t3,MAD2,Shray Solanki,21f1000320@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/1.jpg,http://www.loyal-bhatt.net/
2024t2,BDM,Samar Agarwal,23f1000024@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/47.jpg,http://thaker.info/
2021t2,BDM,Ela Kata,24f2000221@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/94.jpg,http://www.bassi-borra.com/
2024t3,MAD1,Aarav Loke,24f3000093@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/4.jpg,
2023t2,MAD1,Mishti Lalla,22f3000682@ds.study.iitm.ac.in,,https://www.luthra-sibal.org/
2021t3,MAD2,Amira Setty,21f3000250@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/37.jpg,https://www.dua.com/
2021t3,MAD1,Ahana  Sekhon,21f2000605@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/12.jpg,https://www.karnik-rout.com/
2024t1,MAD2,Nishith Devan,21f2000374@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/58.jpg,http://www.vaidya.org/
2021t2,MAD1,Madhav Kadakia,23f1000830@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/68.jpg,
2022t3,MAD2,Faiyaz Varghese,21f1000615@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/95.jpg,
2021t3,MAD2,Dhanuk Madan,22f3000364@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/44.jpg,
2021t1,MLP,Hansh Sen,24f1000556@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/41.jpg,
2022t2,MAD1,Shray Sachdev,24f2000133@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/95.jpg,https://sampath.org/
2021t1,MLP,Hiran Karnik,24f2000665@ds.study.iitm.ac.in,,https://www.ahuja-dugar.com/
2021t1,MAD1,Nirvi Chander,23f2000573@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/65.jpg,
2023t1,BDM,Hrishita Dayal,22f2000828@ds.study.iitm.ac.in,,http://balan.com/
2023t3,MLP,Ira Kaul,22f2000787@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/92.jpg,https://jani-bhagat.com/
2021t3,MLP,Jiya Talwar,21f1000528@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/20.jpg,http://www.balay-sengupta.com/
2024t1,MAD1,Tanya Bhargava,24f3000105@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/31.jpg,http://www.shenoy.com/
2023t2,BDM,Stuvan Mandal,24f1000079@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/50.jpg,https://mann-babu.net/
2022t3,MLP,Shaan Chander,24f1000293@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/65.jpg,http://www.vaidya.com/
2022t3,MLP,Hazel Ramesh,23f2000278@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/18.jpg,https://www.wagle-choudhary.com/
2023t3,MAD2,Miraya Maharaj,22f2000530@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/79.jpg,https://rana.com/
2023t3,MLP,Indranil Sule,24f1000741@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/39.jpg,
2023t1,MAD1,Indrans Bhardwaj,22f3000642@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/37.jpg,
2021t1,BDM,Gatik Deshmukh,24f2000021@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/17.jpg,https://wagle.com/
2022t3,MAD2,Shaan Lata,24f3000285@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/9.jpg,
2021t1,MAD2,Pihu Solanki,22f3000622@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/76.jpg,http://www.savant.com/
2022t3,MAD2,Ryan Karpe,24f3000996@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/67.jpg,http://www.sandhu.org/
2023t3,MAD2,Madhup Sarna,23f3000781@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/10.jpg,https://www.tank-deol.net/
2022t1,MLP,Samiha Shenoy,23f1000091@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/3.jpg,http://badal-khatri.com/
2021t2,MAD1,Samaira Bahri,24f1000023@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/23.jpg,http://chanda.biz/
2023t3,MLP,Divit Shere,22f2000723@ds.study.iitm.ac.in,,
2022t3,MLP,Ivan Som,24f3000552@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/81.jpg,https://ramesh-mahal.com/
2024t1,MAD1,Neelofar Kaur,21f2000427@ds.study.iitm.ac.in,,http://www.dua.info/
2022t2,MAD2,Raunak Subramanian,21f1000715@ds.study.iitm.ac.in,,http://choudhry.org/
2022t1,MAD2,Ishita Chhabra,24f2000657@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/91.jpg,https://www.sibal.biz/
2022t2,MAD1,Parinaaz Kala,21f2000753@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/97.jpg,http://contractor.net/
2024t1,MLP,Kimaya Randhawa,23f2000670@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/6.jpg,http://rajagopalan.biz/
2023t2,BDM,Chirag Dubey,22f2000942@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/39.jpg,https://www.kashyap.info/
2022t3,MAD1,Tushar Dora,23f1000123@ds.study.iitm.ac.in,,
2021t3,BDM,Raunak Char,24f3000063@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/women/47.jpg,https://bala-dar.com/
2023t3,BDM,Bhamini Dada,21f2000822@ds.study.iitm.ac.in,https://randomuser.me/api/portraits/men/31.jpg,
